Comment,Designator,Footprint,LCSC Part #
"10u","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10","C0805","C15850"
"100n","C11, C14, C21, C772, C440","C0603","C14663"
"10n","C12, C13","C0603","C57112"
"1n","C15, C16, C17, C18, C19, C20, C22, C23, C24, C25, C26, C28, C771","C0603","C1588"
"PSM712-LF","D1, D411","SOT-23","C32677"
"B5819W","D2, D3, D4, D5, D6, D7, D8, D9, D416, D417, D101, D107, D440, D441","SOD-123","C8598"
"SRV05-4-P-T7","D10, D11, D12, D102, D200, D202, D203, D206","SOT23-6","C85364"
"12H1500D","F1, F2, F3","PAD-1206-PAD","C182446"
"USB_B_Mini","J2","USB-MINI-B-VERTICAL","C13453"
"ISL9V3040D3S","Q1, Q2, Q3, Q4","DPAK","C462128"
"AO3400A","Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q101, Q103","SOT-23","C20917"
"Jumper-Pad-Pad","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R54","PAD-0805-PAD","C17477"
"4.7k","R17, R18, R19, R20, R25, R26, R27, R28, R33, R34, R35, R36, R37, R38, R39, R40, R41, R50, R51, R52, R53, R134","R0603","C23162"
"10k","R30, R31, R32, R42, R43, R48, R776, R777","R0603","C25804"
"1k","R44, R45, R46, R47","R_Array_Convex_4x0603","C20197"
"TLE9201SG","U1","Infineon_PG-DSO-12-11","C112633"
"74HC14PW,118","U2","TSSOP14","C5606"
"VNLD5160","U4, U5, U10, U11","SO8","C377942"
"74VHC163FT","U7","TSSOP-16_4.4x5mm_P0.65mm","C150161"
"47u","C410, C412","C1206","C96123"
"100n","C411, C413, C420, C470","C0402","C307331"
"1u","C414, C415, C133","C0402","C52923"
"10u","C421, C422, C423, C424, C425, C426","C0603","C96446"
"4.7u","C427","C0603","C19666"
"10n","C428, C209, C203, C202, C201, C200, C214, C215, C212, C213, C225, C226, C227, C228, C145, C146","C0402","C15195"
"220p","C429","C0402","C1530"
"1N4148WS","D410, D412, D413, D414","SOD-323","C2128"
"SMCJ30A","D418","SMC","C310046"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421, D205","SMB","C78395"
"2.2uH","L420","L1210","C36828"
"MHT136UGCT","LED1, LED2, LED3, LED4","LED0402","C434447"
"6.8k","R410, R413","R0402","C25917"
"33k","R411, R424, R425, R474","R0402","C25779"
"1","R420","R0402","C25086"
"10k","R421, R426, R427, R102, R107, R108, R109, R121, R127, R128, R141","R0402","C25744"
"68k","R422","R0402","C36871"
"12k","R423, R472","R0402","C25752"
"4.7k","R428, R144, R202, R201, R124, R126, R132, R135","R0402","C25900"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"LMR14020","U420","SOP8","C187824"
"22u","C773, C117, C123","C0603","C59461"
"LED-GREEN-0603","D771, D104, D108","LED-0603","C72043"
"4.7k","R771, R772, R773, R774","R1206","C17936"
"MAX9924UAUB+","U771","MSOP-10_3x3mm_P0.5mm","C143633"
"3.3n","C471","C0402","C26404"
"330p","C472","C0402","C13533"
"47p","C473","C0402","C1567"
"680p","C474","C0603","C1630"
"470k","R470","R0402","C25790"
"100k","R471, R473","R0402","C25741"
"LMV321IDBVR","U470, U471","SOT23-5","C7972"
"TJA1051T/3/1J","U100","SO8","C38695"
"SN74LVC4245APWR","U103","TSSOP24","C7859"
"SN74LVC1G06DCKR","U110","SOT-353","C7828"
"SMD1206B035TF/16","F100, F101","R1206","C269114"
"REF3033","U102","SOT-23","C36658"
"PESD1CAN","D100","SOT-23","C343993"
"Molex MicroSD 47219-2001","J100","SDAMB-012","C164170"
"MCP6004","U180, U185, U190, U195","TSSOP14","C50282"
"LPS22HBTR","U107","HLGA-10L","C94049"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"LED-RED-0603","D103","LED-0603","C2286"
"LED-BLUE-0603","D105, D109, D110, D111, D112, D113, D114, D115, D116","LED-0603","C72041"
"LDL1117S33R","U101","SOT-223","C435835"
"BTN","S100, S101","SMD-2_2.9x3.9x1.7","C115357"
"BLM18AG601SN1D","L100","L0603","C19330"
"BAT54S","VD100, VD101, VD102, VD103","SOT-23","C47546"
"AO3401A","Q100, Q102","SOT-23","C15127"
"680k","R224, R208, R207, R234, R235, R232, R233, R250, R251, R252, R253, R225","R0402","C163456"
"510","R254, R255, R256, R258","R0402","C25123"
"470","R101, R118, R119","R0603-4","C25510"
"120","R100","R0603","C22787"
"100n","C100, C101, C105, C108, C111, C112, C113, C119, C120, C122, C124, C126, C127, C130, C134, C147, C180, C185, C190, C195, C220, C221, C222","C0402","C1525"
"100","R104, R106","R0603","C22775"
"74LVC2G17GW,125","U108, U109","SOT-363","C80500"
"33k","R120","R0603","C4216"
"32.768 kHz","Y101","SMD2012","C99009"
"20 MHz","Y102","SMD5032","C112566"
"18p","C132, C136","C0402","C1549"
"12p","C115, C116","C0402","C1547"
"10k","R129, R130, R140","R0603-4","C29718"
"10","R110, R111, R112, R113","R0402","C25077"
"5.1k","R195","R0402","C25905"
"4.7u","C102, C103, C104, C106, C107, C137, C138, C140","C0402","C23733"
"4.7k","R125, R180, R181, R185, R186, R190, R191, R196, R197, R200, R218, R227, R245","R0603-4","C66697"
"2.2u","C114, C131, C223, C224, C229","C0402","C12530"
"2.2k","R122, R123, R146, R147","R0402","C25879"
"1n","C135, C139, C141, C142, C211, C208, C210, C143, C144","C0402","C1523"
"0","R143","R0402","C17168"
"1k","R440","R0603","C21190"
"TJA1021T/20/CM","U440","SO8","C128810"
"33","R114, R115, R116, R117","R0402","C25105"
"MWSA0503S-100MT","L421","MWSA0503","C408412"
"nSMD050-24V","F410","SMD1206","C70076"
"TLS115B0EJXUMA1","U411","PG-DSO-8","C3743696"
"STM32F429VGT6","U105","LQFP100","C12345"
"750","R133","R0603","C23241"
