Designator,Mid X,Mid Y,Layer,Rotation
C15,44.0mm,83.5mm,Bottom,270.0
C16,39.5mm,83.5mm,Bottom,270.0
C17,42.5mm,83.5mm,Bottom,270.0
C18,41.0mm,83.5mm,Bottom,270.0
C19,47.0mm,83.5mm,Bottom,270.0
C20,40.5mm,74.0mm,Bottom,180.0
C21,45.5mm,65.25mm,Bottom,0.0
C22,42.75mm,73.25mm,Bottom,90.0
C23,40.5mm,72.5mm,Bottom,180.0
C24,46.5mm,72.5mm,Bottom,0.0
C25,44.25mm,73.25mm,Bottom,90.0
C26,46.5mm,74.0mm,Bottom,180.0
C28,45.5mm,83.5mm,Bottom,270.0
D10,41.5mm,77.0mm,Bottom,270.0
D11,45.5mm,77.0mm,Bottom,270.0
R21,39.500954mm,89.5mm,Bottom,270.0
R22,42.5mm,89.5mm,Bottom,270.0
R23,41.0mm,89.5mm,Bottom,270.0
R24,47.0mm,89.5mm,Bottom,270.0
R25,39.5mm,86.5mm,Bottom,270.0
R26,42.5mm,86.5mm,Bottom,270.0
R27,41.0mm,86.5mm,Bottom,270.0
R28,47.0mm,86.5mm,Bottom,270.0
R29,45.5mm,86.5mm,Bottom,270.0
R30,39.5mm,80.5mm,Bottom,90.0
R31,42.5mm,80.5mm,Bottom,90.0
R32,41.0mm,80.5mm,Bottom,90.0
R42,47.0mm,80.5mm,Bottom,90.0
R43,45.5mm,80.5mm,Bottom,90.0
R48,44.0mm,80.5mm,Bottom,90.0
R49,44.0mm,86.5mm,Bottom,270.0
R50,45.5mm,89.5mm,Bottom,270.0
R51,44.0mm,89.5mm,Bottom,270.0
R54,74.995mm,71.0mm,Bottom,0.0
U2,43.5mm,69.0mm,Bottom,270.0
C1,11.575mm,52.0mm,Top,90.0
C2,13.575mm,52.0mm,Top,90.0
C3,15.575mm,52.0mm,Top,90.0
C4,17.575mm,52.0mm,Top,90.0
C5,19.575mm,52.0mm,Top,90.0
C6,11.075mm,65.0mm,Top,270.0
C7,13.075mm,65.0mm,Top,270.0
C8,15.075mm,65.0mm,Top,270.0
C9,17.075mm,65.0mm,Top,270.0
C10,19.075mm,65.0mm,Top,270.0
C11,7.7mm,59.0mm,Top,270.0
C12,7.7mm,56.0mm,Top,90.0
C13,22.5mm,57.04mm,Top,270.0
C14,8.0mm,15.0mm,Top,270.0
D1,61.0mm,51.45mm,Top,270.0
D2,74.5mm,45.0mm,Top,90.0
D3,68.5mm,39.5mm,Top,90.0
D4,74.5mm,39.5mm,Top,90.0
D5,62.5mm,43.5mm,Top,90.0
D6,56.5mm,43.5mm,Top,90.0
D7,68.5mm,45.0mm,Top,90.0
D8,74.5mm,34.0mm,Top,90.0
D9,68.5mm,34.0mm,Top,90.0
D12,19.778185mm,14.0mm,Top,0.0
F1,68.4mm,65.5mm,Top,270.0
F2,53.0mm,65.0mm,Top,270.0
F3,50.5mm,65.0mm,Top,270.0
G1,66.46mm,7.88mm,Top,90.0
G2,74.692mm,7.88mm,Top,90.0
G3,13.0mm,5.5mm,Top,0.0
G4,3.5mm,13.5mm,Top,90.0
J1,77.404267mm,89.716479mm,Top,0.0
J2,21.625mm,35.3mm,Top,270.0
Q1,12.16mm,23.5mm,Top,0.0
Q2,12.16mm,31.0mm,Top,0.0
Q3,12.16mm,38.5mm,Top,0.0
Q4,12.16mm,46.0mm,Top,0.0
Q5,77.5mm,45.5mm,Top,270.0
Q6,71.5mm,40.0mm,Top,270.0
Q7,77.5mm,40.0mm,Top,270.0
Q8,57.45mm,51.4375mm,Top,270.0
Q9,65.5mm,44.0625mm,Top,270.0
Q10,59.5mm,44.0mm,Top,270.0
Q11,71.5mm,45.5mm,Top,270.0
Q12,77.5mm,34.5mm,Top,270.0
Q13,71.5mm,34.5mm,Top,270.0
R1,64.0mm,65.5mm,Top,270.0
R2,60.5mm,65.5mm,Top,270.0
R3,55.3mm,65.5mm,Top,270.0
R4,71.4mm,65.5mm,Top,270.0
R5,57.8mm,65.5mm,Top,270.0
R6,77.0mm,65.5mm,Top,270.0
R7,75.1mm,65.5mm,Top,270.0
R8,73.3mm,65.5mm,Top,270.0
R9,37.5mm,66.5mm,Top,270.0
R10,35.5mm,66.5mm,Top,270.0
