Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C15,44.0mm,83.500000mm,Bottom,-90.0,44.0mm,83.500000mm
C16,39.5mm,83.500000mm,Bottom,-90.0,39.5mm,83.500000mm
C17,42.5mm,83.500000mm,Bottom,-90.0,42.5mm,83.500000mm
C18,41.0mm,83.500000mm,Bottom,-90.0,41.0mm,83.500000mm
C19,47.0mm,83.500000mm,Bottom,-90.0,47.0mm,83.500000mm
C20,40.5mm,74.000000mm,Bottom,180.0,40.5mm,74.000000mm
C21,45.5mm,65.250000mm,Bottom,0.0,45.5mm,65.250000mm
C22,42.75mm,73.250000mm,Bottom,90.0,42.75mm,73.250000mm
C23,40.5mm,72.500000mm,Bottom,180.0,40.5mm,72.500000mm
C24,46.5mm,72.500000mm,Bottom,0.0,46.5mm,72.500000mm
C25,44.25mm,73.250000mm,Bottom,90.0,44.25mm,73.250000mm
C26,46.5mm,74.000000mm,Bottom,180.0,46.5mm,74.000000mm
C28,45.5mm,83.500000mm,Bottom,-90.0,45.5mm,83.500000mm
D10,41.5mm,77.000000mm,Bottom,270.0,41.5mm,77.000000mm
D11,45.5mm,77.000000mm,Bottom,270.0,45.5mm,77.000000mm
R21,39.500954mm,89.500000mm,Bottom,-90.0,39.500954mm,89.500000mm
R22,42.5mm,89.500000mm,Bottom,-90.0,42.5mm,89.500000mm
R23,41.0mm,89.500000mm,Bottom,-90.0,41.0mm,89.500000mm
R24,47.0mm,89.500000mm,Bottom,-90.0,47.0mm,89.500000mm
R25,39.5mm,86.500000mm,Bottom,-90.0,39.5mm,86.500000mm
R26,42.5mm,86.500000mm,Bottom,-90.0,42.5mm,86.500000mm
R27,41.0mm,86.500000mm,Bottom,-90.0,41.0mm,86.500000mm
R28,47.0mm,86.500000mm,Bottom,-90.0,47.0mm,86.500000mm
R29,45.5mm,86.500000mm,Bottom,-90.0,45.5mm,86.500000mm
R30,39.5mm,80.500000mm,Bottom,90.0,39.5mm,80.500000mm
R31,42.5mm,80.500000mm,Bottom,90.0,42.5mm,80.500000mm
R32,41.0mm,80.500000mm,Bottom,90.0,41.0mm,80.500000mm
R42,47.0mm,80.500000mm,Bottom,90.0,47.0mm,80.500000mm
R43,45.5mm,80.500000mm,Bottom,90.0,45.5mm,80.500000mm
R48,44.0mm,80.500000mm,Bottom,90.0,44.0mm,80.500000mm
R49,44.0mm,86.500000mm,Bottom,-90.0,44.0mm,86.500000mm
R50,45.5mm,89.500000mm,Bottom,-90.0,45.5mm,89.500000mm
R51,44.0mm,89.500000mm,Bottom,-90.0,44.0mm,89.500000mm
U2,43.5mm,69.000000mm,Bottom,270.0,43.5mm,69.000000mm
C1,11.575000mm,52.000000mm,Top,90.0,11.575000mm,52.000000mm
C2,13.575000mm,52.000000mm,Top,90.0,13.575000mm,52.000000mm
C3,15.575000mm,52.000000mm,Top,90.0,15.575000mm,52.000000mm
C4,17.575000mm,52.000000mm,Top,90.0,17.575000mm,52.000000mm
